date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:10	22272/22272	---M--	200	added ('OK')	image/png	etag:%225700-61a8883e91a3b%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/supergrafis-warna--1024x51.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/supergrafis-warna--1024x51.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:10	18835/18835	---M--	200	added ('OK')	image/png	etag:%224993-61a88b57eb111%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/Group-18.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/Group-18.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:10	10094/10094	---M--	200	added ('OK')	text/css	etag:%22276e-61a87cf75a602%22	http://lp.markaswalet.test/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	(from http://lp.markaswalet.test/parfumwalet/)
23:25:11	4888/4888	---M--	200	added ('OK')	image/png	etag:%221318-61a88bf41884c%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/title-text-3-1.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/title-text-3-1.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:11	87553/87553	---M--	200	added ('OK')	application/javascript	etag:%2215601-603fed35e19c0%22	http://lp.markaswalet.test/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-includes/js/jquery/jquery.minf43b.js	(from http://lp.markaswalet.test/parfumwalet/)
23:25:12	5877/5877	---M--	200	added ('OK')	image/png	etag:%2216f5-61a88bf52c5db%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/title-text-4-1.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/title-text-4-1.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:13	8504/8504	---M--	200	added ('OK')	image/png	etag:%222138-61a88d429da2a%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/TESTIMONI-CUSTOMER-NH3X-SUPER.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/TESTIMONI-CUSTOMER-NH3X-SUPER.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:28	128122/128122	---M--	200	added ('OK')	image/png	etag:%221f47a-61a88b99d0c01%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/Group-55.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/Group-55.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:31	114821/114821	---M--	200	added ('OK')	image/png	etag:%221c085-61a88d8565a2f%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/testimoni-1.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/testimoni-1.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:35	133770/133770	---M--	200	added ('OK')	image/png	etag:%2220a8a-61a88d83f7851%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/testimoni-2.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/testimoni-2.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:45	107743/107743	---M--	200	added ('OK')	image/png	etag:%221a4df-61a88d823becf%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/testimoni-3.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/testimoni-3.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:46	65366/65366	---M--	200	added ('OK')	image/png	etag:%22ff56-61a88e2999d21%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/Group-55-1.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/Group-55-1.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:49	23120/23120	---M--	200	added ('OK')	image/png	etag:%225a50-61a88e32c8449%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/Group-19.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/uploads/2024/06/Group-19.png	(from http://lp.markaswalet.test/parfumwalet/)
23:25:49	22722/22722	---M--	200	added ('OK')	application/javascript	etag:%2258c2-61a881af45717%22	http://lp.markaswalet.test/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.7.0	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-content/themes/astra/assets/js/minified/frontend.min1849.js	(from http://lp.markaswalet.test/parfumwalet/)
23:25:51	8171/8171	---M--	200	added ('OK')	application/javascript	etag:%221feb-5f287f2e2a640%22	http://lp.markaswalet.test/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	D:/MARKASWALET/httrack/LP%20Parfum%20Walet/lp.markaswalet.test/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from http://lp.markaswalet.test/parfumwalet/)
