date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:44	681/681	---M--	200	added ('OK')	application/javascript	etag:%222a9-61a88690afda7%22	http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/js/animate-circle.min.js?ver=3.2.0	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/js/animate-circle.min55a0.js	(from http://lp.markaswalet.test/parfum-walet-2/)
13:00:45	259688/259688	---M--	200	added ('OK')	image/png	etag:%223f668-61a88d0088d53%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/perbandingan-parfum-walet-2.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/uploads/2024/06/perbandingan-parfum-walet-2.png	(from http://lp.markaswalet.test/parfum-walet-2/)
13:00:46	5805/5805	---M--	200	added ('OK')	application/javascript	etag:%2216ad-61a886a0b87c4%22	http://lp.markaswalet.test/wp-content/plugins/royal-elementor-addons/assets/js/modal-popups.min.js?ver=1.3.977	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/royal-elementor-addons/assets/js/modal-popups.min48e6.js	(from http://lp.markaswalet.test/parfum-walet-2/)
13:00:47	18773/18773	---M--	200	added ('OK')	application/javascript	etag:%224955-61a88690b405d%22	http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor.js?ver=3.2.0	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor55a0.js	(from http://lp.markaswalet.test/parfum-walet-2/)
13:00:49	39972/39972	---M--	200	added ('OK')	application/javascript	etag:%229c24-61a87cf85d380%22	http://lp.markaswalet.test/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.21.8	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementor/assets/js/frontend.min3cad.js	(from http://lp.markaswalet.test/parfum-walet-2/)
13:00:50	201/201	---M--	200	added ('OK')	image/png	etag:%22c9-61a88690a9ab7%22	http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	(from http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=3.2.0)
13:00:50	160/160	---M--	200	added ('OK')	image/png	etag:%22a0-61a88690adcff%22	http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc.png	(from http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=3.2.0)
13:00:50	158/158	---M--	200	added ('OK')	image/png	etag:%229e-61a88690af19c%22	http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_desc.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_desc.png	(from http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=3.2.0)
13:00:51	148/148	---M--	200	added ('OK')	image/png	etag:%2294-61a88690ad917%22	http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc_disabled.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc_disabled.png	(from http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=3.2.0)
13:01:12	216345/216345	---M--	200	added ('OK')	application/javascript	etag:%2234d19-61a886a09d6cb%22	http://lp.markaswalet.test/wp-content/plugins/royal-elementor-addons/assets/js/frontend.min.js?ver=1.3.977	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/royal-elementor-addons/assets/js/frontend.min48e6.js	(from http://lp.markaswalet.test/parfum-walet-2/)
13:01:16	255491/255491	---M--	200	added ('OK')	image/png	etag:%223e603-61a969f7390cc%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/Group-55-2.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/uploads/2024/06/Group-55-2.png	(from http://lp.markaswalet.test/wp-content/uploads/elementor/css/post-61.css?ver=1718085461)
13:01:48	1039333/1039333	---M--	200	added ('OK')	image/png	etag:%22fdbe5-61a96a5ba26f4%22	http://lp.markaswalet.test/wp-content/uploads/2024/06/IMG_3892-1.png	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/uploads/2024/06/IMG_3892-1.png	(from http://lp.markaswalet.test/wp-content/uploads/elementor/css/post-61.css?ver=1718085461)
